"Root","Project","Top","RelativePath","FileName","Bytes","Modified","HeadingSample","HasPRD","HasRoadmap","HasFinance","HasDesign","HasArchitecture","HasLegalRisk"
"Voyager","ANALISIS_HABILIDADES_PROFESIONALES.md","01_software","01_software\ANALISIS_HABILIDADES_PROFESIONALES.md","ANALISIS_HABILIDADES_PROFESIONALES.md","17240","2026-03-28 03:37","ANÁLISIS DE HABILIDADES PROFESIONALES || Extraído del Portafolio Voyager (84 proyectos) || NOTA CRÍTICA DE HONESTIDAD SOBRE ESTE ANÁLISIS || SECCIÓN 1: LO QUE DANIEL REALMENTE SABE HACER || 1.1 — DETECCIÓN DE ÁREAS DE OPORTUNIDAD || Ejemplos concretos de oportunidades que identificó: || ¿Por qué esto importa para un empleador? || 1.2 — CONCEPTUALIZACIÓN Y VISIÓN DE PRODUCTO","1","1","1","1","1","1"
"Voyager","01_proyectia_tabs","09_extensiones google chrome","09_extensiones google chrome\01_proyectia_tabs\6_Proyectia Tabs.md","6_Proyectia Tabs.md","4149","2026-03-22 02:08","📑 Proyectia Tabs - El Sistema de Gestión de Estados de Navegación || 🌟 Visión General || 🛠️ Arquitectura Técnica (Extension Manifest V3) || 📊 Lógica de Resumen de Grupos (Notification Band) || ✨ UX: Etiquetas de Estado y Atajos de Poder || 📈 Propuesta de Valor: Foco en Deep Work || 🚀 Hoja de Ruta (Roadmap) de Evolución || 🏁 Conclusión","0","1","0","1","1","0"
"Voyager","casino","05_videojuegos","05_videojuegos\casino\DOC03_BACKEND_SPEC.md","DOC03_BACKEND_SPEC.md","37699","2026-04-14 05:40","DOC-03 · ESPECIFICACIÓN DE BACKEND Y LÓGICA DE NEGOCIO || La Tumba de Neón — Motor Matemático, API y Persistencia || Server-side Architecture para Next.js 14 App Router || ÍNDICE || SECCIÓN 1 · ARQUITECTURA DE CAPAS || 1.1 Por qué el motor es client-side || 1.2 Qué vive en el servidor || SECCIÓN 2 · MOTOR MATEMÁTICO COMPLETO","0","1","0","1","1","0"
"Voyager","casino","05_videojuegos","05_videojuegos\casino\DOC02_FRONTEND_SPEC.md","DOC02_FRONTEND_SPEC.md","28659","2026-04-14 05:40","DOC-02 · ESPECIFICACIÓN DE FRONTEND || La Tumba de Neón — Sistema de Diseño y Componentes || Guía de Implementación Visual para Next.js + Tailwind + CSS Modules || ÍNDICE || SECCIÓN 1 · SISTEMA DE DISEÑO (DESIGN TOKENS) || 1.1 Paleta Completa || 1.2 Gradientes Reutilizables || SECCIÓN 2 · TAILWIND CONFIG EXTENDIDO","0","0","0","1","1","0"
"Voyager","casino","05_videojuegos","05_videojuegos\casino\DOC01_AI_STUDIO_PRD.md","DOC01_AI_STUDIO_PRD.md","43596","2026-04-14 05:40","DOC-01 · PRD MAESTRO PARA GOOGLE AI STUDIO || La Tumba de Neón — Casino Egipcio en Next.js 14 || Instrucciones de Generación de Código para Agente de IA || ÍNDICE || SECCIÓN 1 · CONTEXTO DEL PROYECTO || SECCIÓN 2 · STACK TECNOLÓGICO DEFINITIVO || SECCIÓN 3 · ÁRBOL DE ARCHIVOS COMPLETO || SECCIÓN 4 · ANTI-PATTERNS ESPECÍFICOS DE IA","1","0","0","1","1","0"
"Voyager","casino","05_videojuegos","05_videojuegos\casino\DOC04_ANTIGRAVITY_PROTOCOL.md","DOC04_ANTIGRAVITY_PROTOCOL.md","22136","2026-04-14 05:40","DOC-04 · PROTOCOLO ANTIGRAVITY || La Tumba de Neón — Handoff y Migración desde Google AI Studio || Instrucciones para el Agente Antigravity (Google Antigravity / Gemini 2.0 Flash) || ÍNDICE || SECCIÓN 1 · CONTEXTO DE MIGRACIÓN || 1.1 ¿Por qué migramos de AI Studio a Antigravity? || 1.2 Estado esperado al llegar a Antigravity || SECCIÓN 2 · LO QUE VIENE DE AI STUDIO (ENTREGABLES ESPERADOS)","0","0","0","1","1","0"
"Voyager","01_lotto_di_pasta","08_Gastronomia","08_Gastronomia\01_lotto_di_pasta\Documentacion para la IA\PROTOCOL.md","PROTOCOL.md","376","2026-03-27 18:36","PROTOCOL.md - Protocolo Maestro de Desarrollo de Software","1","1","0","1","0","0"
"Voyager","01_lotto_di_pasta","08_Gastronomia","08_Gastronomia\01_lotto_di_pasta\Documentacion para la IA\CLAUDE.md","CLAUDE.md","146","2026-03-27 18:36","CLAUDE.md - Lotto di Pasta","0","0","0","1","1","0"
"Voyager","01_lotto_di_pasta","08_Gastronomia","08_Gastronomia\01_lotto_di_pasta\Documentacion para la IA\CHANGELOG.md","CHANGELOG.md","141","2026-03-27 18:36","CHANGELOG - Lotto di Pasta || [Unreleased] - 2026-03-27","0","0","0","0","0","0"
"Voyager","01_proyectia_tabs","09_extensiones google chrome","09_extensiones google chrome\01_proyectia_tabs\Documentacion para la IA\CHANGELOG.md","CHANGELOG.md","141","2026-03-27 18:36","CHANGELOG - Proyectia Tabs || [Unreleased] - 2026-03-27","0","0","0","0","0","0"
"Voyager","01_proyectia_tabs","09_extensiones google chrome","09_extensiones google chrome\01_proyectia_tabs\Documentacion para la IA\CLAUDE.md","CLAUDE.md","154","2026-03-27 18:36","CLAUDE.md - Proyectia Tabs","0","0","0","0","1","0"
"Voyager","01_proyectia_tabs","09_extensiones google chrome","09_extensiones google chrome\01_proyectia_tabs\Documentacion para la IA\PROTOCOL.md","PROTOCOL.md","376","2026-03-27 18:36","PROTOCOL.md - Protocolo Maestro de Desarrollo de Software","1","1","0","1","0","0"
"Voyager","01_closet_a_la_pantalla","10_Ebooks","10_Ebooks\01_closet_a_la_pantalla\Documentacion para la IA\PROTOCOL.md","PROTOCOL.md","382","2026-03-27 18:36","PROTOCOL.md - Protocolo Maestro de Desarrollo de Software","1","1","0","1","0","0"
"Voyager","01_closet_a_la_pantalla","10_Ebooks","10_Ebooks\01_closet_a_la_pantalla\Documentacion para la IA\CHANGELOG.md","CHANGELOG.md","147","2026-03-27 18:36","CHANGELOG - Closet a la Pantalla || [Unreleased] - 2026-03-27","0","0","0","0","0","0"
"Voyager","01_closet_a_la_pantalla","10_Ebooks","10_Ebooks\01_closet_a_la_pantalla\Documentacion para la IA\CLAUDE.md","CLAUDE.md","147","2026-03-27 18:36","CLAUDE.md - Closet a la Pantalla","0","0","0","0","1","0"
"Voyager","03_Titanes","06_Juegos de mesa","06_Juegos de mesa\03_Titanes\Documentacion para la IA\CHANGELOG.md","CHANGELOG.md","134","2026-03-27 18:36","CHANGELOG - Titanes || [Unreleased] - 2026-03-27","0","0","0","0","0","0"
"Voyager","03_Titanes","06_Juegos de mesa","06_Juegos de mesa\03_Titanes\Documentacion para la IA\PROTOCOL.md","PROTOCOL.md","369","2026-03-27 18:36","PROTOCOL.md - Protocolo Maestro de Desarrollo de Software","1","1","0","1","0","0"
"Voyager","07_HilarIA","02_App IOS y android","02_App IOS y android\07_HilarIA\Documentacion para la IA\CLAUDE.md","CLAUDE.md","240","2026-03-27 18:34","CLAUDE.md - Entry Point para Claude Code || Proyecto: HilarIA || Estado: Todos DRAFT","0","0","0","1","1","0"
"Voyager","07_HilarIA","02_App IOS y android","02_App IOS y android\07_HilarIA\Documentacion para la IA\PROTOCOL.md","PROTOCOL.md","939","2026-03-27 18:34","PROTOCOL.md - Protocolo Maestro de Desarrollo de Software || SECCION G - RESTRICCIONES ABSOLUTAS (Total: 15 reglas activas) || SECCION H - OBLIGACIONES ACTIVAS (Total: 15 reglas activas)","0","1","0","0","1","0"
"Voyager","20_slap-faast","01_software","01_software\20_slap-faast\Documentacion para la IA\20_slap-faast.md","20_slap-faast.md","1018","2026-03-22 02:08","⚡ Slap!Faast - Motor de Ejecución Hyper-Voz || 🌟 Visión General || 📐 Componentes del Repositorio || 🚀 Proyección","0","1","0","1","1","0"
"Voyager","20_slap-faast","01_software","01_software\20_slap-faast\Documentacion para la IA\CHANGELOG.md","CHANGELOG.md","305","2026-03-27 18:33","CHANGELOG - Slap!Faast || [Unreleased] - 2026-03-27 || Added || Technical Debt","0","0","0","1","0","0"
"Voyager","20_slap-faast","01_software","01_software\20_slap-faast\Documentacion para la IA\CLAUDE.md","CLAUDE.md","520","2026-03-27 18:33","CLAUDE.md - Entry Point para Claude Code || Proyecto: Slap!Faast || Estado de Documentacion","1","1","0","1","1","0"
"Voyager","20_slap-faast","01_software","01_software\20_slap-faast\Documentacion para la IA\PROTOCOL.md","PROTOCOL.md","942","2026-03-27 18:33","PROTOCOL.md - Protocolo Maestro de Desarrollo de Software || SECCION G - RESTRICCIONES ABSOLUTAS (Total: 15 reglas activas) || SECCION H - OBLIGACIONES ACTIVAS (Total: 15 reglas activas)","0","1","0","0","1","0"
"Voyager","03_App_david","02_App IOS y android","02_App IOS y android\03_App_david\Documentacion para la IA\CLAUDE.md","CLAUDE.md","303","2026-03-27 22:51","CLAUDE.md - Entry Point para Claude Code || Proyecto: App David (NeuroCoach Personal) || Estado: CONTEXTO RESUELTO (APPROVED)","0","0","0","1","1","0"
"Voyager","03_App_david","02_App IOS y android","02_App IOS y android\03_App_david\Documentacion para la IA\CHANGELOG.md","CHANGELOG.md","255","2026-03-27 22:51","CHANGELOG - App David (NeuroCoach Personal) || [Unreleased] - 2026-03-27 || Changed","0","0","0","0","1","0"
"Voyager","03_App_david","02_App IOS y android","02_App IOS y android\03_App_david\Documentacion para la IA\PROTOCOL.md","PROTOCOL.md","941","2026-03-27 18:34","PROTOCOL.md - Protocolo Maestro de Desarrollo de Software || SECCION G - RESTRICCIONES ABSOLUTAS (Total: 15 reglas activas) || SECCION H - OBLIGACIONES ACTIVAS (Total: 15 reglas activas)","0","1","0","0","1","0"
"Voyager","01_lotto_di_pasta","08_Gastronomia","08_Gastronomia\01_lotto_di_pasta\Documentacion para la IA\docs\GLOSSARY.md","GLOSSARY.md","174","2026-03-27 18:36","GLOSSARY - Lotto di Pasta || STATUS","0","0","0","0","0","0"
"Voyager","01_lotto_di_pasta","08_Gastronomia","08_Gastronomia\01_lotto_di_pasta\Documentacion para la IA\docs\TEST_PLAN.md","TEST_PLAN.md","166","2026-03-27 18:36","TEST_PLAN - Lotto di Pasta || TP-1.1: Core || STATUS","0","1","0","0","0","0"
"Voyager","01_lotto_di_pasta","08_Gastronomia","08_Gastronomia\01_lotto_di_pasta\Documentacion para la IA\docs\USER_DOCS.md","USER_DOCS.md","153","2026-03-27 18:36","USER_DOCS - Lotto di Pasta || STATUS","0","0","0","0","0","0"
"Voyager","01_lotto_di_pasta","08_Gastronomia","08_Gastronomia\01_lotto_di_pasta\Documentacion para la IA\docs\PRD.md","PRD.md","195","2026-03-27 18:36","PRD - Lotto di Pasta || Resumen || Stack || STATUS","1","0","0","1","1","0"
"Voyager","01_lotto_di_pasta","08_Gastronomia","08_Gastronomia\01_lotto_di_pasta\Documentacion para la IA\docs\DESIGN_SPEC.md","DESIGN_SPEC.md","141","2026-03-27 18:36","DESIGN_SPEC - Lotto di Pasta || Estetica || STATUS","0","0","0","1","0","0"
"Voyager","01_lotto_di_pasta","08_Gastronomia","08_Gastronomia\01_lotto_di_pasta\Documentacion para la IA\docs\ROADMAP.md","ROADMAP.md","184","2026-03-27 18:36","ROADMAP - Lotto di Pasta || FASE 1 || TASK-1.1.1 - Setup || Ultima Sesion || STATUS","0","1","0","0","0","0"
"Voyager","01_lotto_di_pasta","08_Gastronomia","08_Gastronomia\01_lotto_di_pasta\Documentacion para la IA\docs\TDD.md","TDD.md","149","2026-03-27 18:36","TDD - Lotto di Pasta || Stack || Arquitectura || STATUS","0","0","0","1","1","0"
"Voyager","sociedad unova","sociedad unova","sociedad unova\Producto\11_Analisis_Financiero\DESGLOSE_ESTRATEGICO_Y_FINANCIERO_VOYAGER.md","DESGLOSE_ESTRATEGICO_Y_FINANCIERO_VOYAGER.md","4257","2026-05-02 23:53","💰 DESGLOSE ESTRATÉGICO Y FINANCIERO: ECOSISTEMA VOYAGER || 🏛️ CATEGORÍAS MAESTRAS (10 CARPETAS) || 📂 01. Software (Core Systems) || 📂 02. Apps Móviles (iOS & Android) || 📂 03. Estrategia Global (Meta-Gestión) || 📂 04. Música & Composición || 📂 05. Videojuegos || 📂 06. Juegos de Mesa","1","0","1","1","1","0"
"Voyager","01_closet_a_la_pantalla","10_Ebooks","10_Ebooks\01_closet_a_la_pantalla\Documentacion para la IA\_meta\owner.md","owner.md","215","2026-03-27 18:36","Owner del Proyecto","0","0","0","0","0","0"
"Voyager","01_closet_a_la_pantalla","10_Ebooks","10_Ebooks\01_closet_a_la_pantalla\Documentacion para la IA\_meta\questions-log.md","questions-log.md","711","2026-03-27 18:36","Questions Log - Closet a la Pantalla","0","0","0","0","1","0"
"Voyager","07_HilarIA","02_App IOS y android","02_App IOS y android\07_HilarIA\Documentacion para la IA\_meta\owner.md","owner.md","286","2026-03-27 18:34","Owner del Proyecto","0","0","0","0","0","0"
"Voyager","07_HilarIA","02_App IOS y android","02_App IOS y android\07_HilarIA\Documentacion para la IA\_meta\questions-log.md","questions-log.md","997","2026-03-27 18:34","Questions Log - HilarIA || Categoria: Proposito || Categoria: Usuarios || Categoria: Tecnico || Categoria: Datos y Seguridad || Categoria: Escala || Categoria: Calidad","0","0","0","0","1","0"
"Voyager","01_proyectia_tabs","09_extensiones google chrome","09_extensiones google chrome\01_proyectia_tabs\Documentacion para la IA\_meta\owner.md","owner.md","215","2026-03-27 18:36","Owner del Proyecto","0","0","0","0","0","0"
"Voyager","01_proyectia_tabs","09_extensiones google chrome","09_extensiones google chrome\01_proyectia_tabs\Documentacion para la IA\_meta\questions-log.md","questions-log.md","720","2026-03-27 18:36","Questions Log - Proyectia Tabs","0","0","0","0","1","0"
"Voyager","03_Titanes","06_Juegos de mesa","06_Juegos de mesa\03_Titanes\Documentacion para la IA\_meta\questions-log.md","questions-log.md","698","2026-03-27 18:36","Questions Log - Titanes","0","0","0","0","1","0"
"Voyager","03_Titanes","06_Juegos de mesa","06_Juegos de mesa\03_Titanes\Documentacion para la IA\_meta\owner.md","owner.md","215","2026-03-27 18:36","Owner del Proyecto","0","0","0","0","0","0"
"Voyager","03_Titanes","06_Juegos de mesa","06_Juegos de mesa\03_Titanes\Documentacion para la IA\CLAUDE.md","CLAUDE.md","140","2026-03-27 18:36","CLAUDE.md - Titanes","0","0","0","0","1","0"
"Voyager","20_slap-faast","01_software","01_software\20_slap-faast\Documentacion para la IA\docs\ROADMAP.md","ROADMAP.md","756","2026-03-27 18:33","ROADMAP - Slap!Faast || FASE 1 - Fundamentos || TASK-1.1.1 - Configuracion del entorno de desarrollo || TASK-1.2.1 - Implementacion de funcionalidad core || FASE 2 - Integracion || TASK-2.1.1 - Integracion con ecosistema Voyager || Ultima Sesion || STATUS","0","1","0","1","1","0"
"Voyager","20_slap-faast","01_software","01_software\20_slap-faast\Documentacion para la IA\docs\PRD.md","PRD.md","752","2026-03-27 18:33","PRD - Slap!Faast || 1. Resumen Ejecutivo || 2. El Problema || 3. La Solucion || 4. Usuarios Objetivo || 5. Stack Tecnologico || 6. Criterios de Exito || STATUS","1","0","0","1","1","0"
"Voyager","20_slap-faast","01_software","01_software\20_slap-faast\Documentacion para la IA\docs\TDD.md","TDD.md","468","2026-03-27 18:33","TDD - Slap!Faast || 1. Stack Tecnologico || 2. Arquitectura || 3. Integraciones || 4. Requisitos No Funcionales || STATUS","0","0","0","1","1","0"
"Voyager","20_slap-faast","01_software","01_software\20_slap-faast\Documentacion para la IA\docs\TEST_PLAN.md","TEST_PLAN.md","420","2026-03-27 18:33","TEST_PLAN - Slap!Faast || Casos de Prueba || TP-1.1: Funcionalidad Core || Criterios de Fallo || STATUS","0","1","0","0","0","0"
"Voyager","20_slap-faast","01_software","01_software\20_slap-faast\Documentacion para la IA\docs\DESIGN_SPEC.md","DESIGN_SPEC.md","471","2026-03-27 18:33","DESIGN_SPEC - Slap!Faast || 1. Estetica Visual || 2. Flujos de Usuario || 3. Componentes UI || STATUS","0","0","0","1","0","0"
"Voyager","20_slap-faast","01_software","01_software\20_slap-faast\Documentacion para la IA\docs\GLOSSARY.md","GLOSSARY.md","438","2026-03-27 18:33","GLOSSARY - Slap!Faast || Terminos del Producto || Convenciones de Naming || STATUS","1","0","0","1","1","0"
"Voyager","20_slap-faast","01_software","01_software\20_slap-faast\Documentacion para la IA\docs\USER_DOCS.md","USER_DOCS.md","393","2026-03-27 18:33","USER_DOCS - Guia del Usuario: Slap!Faast || 1. Inicio Rapido || 2. Funcionalidad Principal || 3. Configuracion || STATUS","0","0","0","1","1","0"
"Voyager","03_App_david","02_App IOS y android","02_App IOS y android\03_App_david\Documentacion para la IA\_meta\owner.md","owner.md","286","2026-03-27 18:34","Owner del Proyecto","0","0","0","0","0","0"
"Voyager","03_App_david","02_App IOS y android","02_App IOS y android\03_App_david\Documentacion para la IA\_meta\questions-log.md","questions-log.md","1562","2026-03-27 22:51","Questions Log - App David (NeuroCoach Personal) || Categoria: Proposito || Categoria: Usuarios || Categoria: Tecnico || Categoria: Datos y Seguridad || Categoria: Escala || Categoria: Calidad","0","0","0","1","1","0"
"Voyager","01_lotto_di_pasta","08_Gastronomia","08_Gastronomia\01_lotto_di_pasta\Documentacion para la IA\_meta\questions-log.md","questions-log.md","692","2026-03-27 18:36","Questions Log - Lotto di Pasta","0","0","0","1","1","0"
"Voyager","01_lotto_di_pasta","08_Gastronomia","08_Gastronomia\01_lotto_di_pasta\Documentacion para la IA\_meta\owner.md","owner.md","215","2026-03-27 18:36","Owner del Proyecto","0","0","0","0","0","0"
"Voyager","28_Lotto di Pasta.md","08_Gastronomia","08_Gastronomia\28_Lotto di Pasta.md","28_Lotto di Pasta.md","1168","2026-03-22 02:08","🍝 Lotto di Pasta - Concepto Fotográfico/Lúdico || 🌟 Visión General || 📐 Exploración Visual y de Mercado || 🚀 Hoja de Ruta","1","1","0","1","0","0"
"Voyager","sociedad unova","sociedad unova","sociedad unova\Producto\00_Estrategia_Global\ANALISIS_ESTRATEGICO_MASTER_GLOBAL.md","ANALISIS_ESTRATEGICO_MASTER_GLOBAL.md","7314","2026-05-13 23:12","🏛️ ANÁLISIS ESTRATÉGICO MASTER GLOBAL: ECOSISTEMA VOYAGER || Actualizacion rectificada - Mayo 2026 || 1. METODOLOGÍA DE EVALUACIÓN || Score de Desarrollo /25 || Score de Rentabilidad /25 || Clasificación de Decisión || 2. INVENTARIO MAESTRO ORGANIZADO || 📂 01_Software","1","1","1","1","1","0"
"Voyager","07_HilarIA","02_App IOS y android","02_App IOS y android\07_HilarIA\Documentacion para la IA\docs\USER_DOCS.md","USER_DOCS.md","203","2026-03-27 18:34","USER_DOCS - HilarIA || Inicio Rapido || STATUS","0","0","0","0","0","0"
"Voyager","07_HilarIA","02_App IOS y android","02_App IOS y android\07_HilarIA\Documentacion para la IA\docs\ROADMAP.md","ROADMAP.md","272","2026-03-27 18:34","ROADMAP - HilarIA || FASE 1 - Fundamentos || TASK-1.1.1 - Setup del proyecto || Ultima Sesion || STATUS","0","1","0","0","0","0"
"Voyager","07_HilarIA","02_App IOS y android","02_App IOS y android\07_HilarIA\Documentacion para la IA\docs\TEST_PLAN.md","TEST_PLAN.md","230","2026-03-27 18:34","TEST_PLAN - HilarIA || TP-1.1: Funcionalidad Core || STATUS","0","1","0","0","0","0"
"Voyager","07_HilarIA","02_App IOS y android","02_App IOS y android\07_HilarIA\Documentacion para la IA\docs\GLOSSARY.md","GLOSSARY.md","260","2026-03-27 18:34","GLOSSARY - HilarIA || Terminos || STATUS","0","0","0","0","0","0"
"Voyager","07_HilarIA","02_App IOS y android","02_App IOS y android\07_HilarIA\Documentacion para la IA\docs\PRD.md","PRD.md","428","2026-03-27 18:34","PRD - HilarIA || 1. Resumen Ejecutivo || 2. El Problema || 3. La Solucion || 4. Stack || STATUS","1","0","0","1","1","0"
"Voyager","07_HilarIA","02_App IOS y android","02_App IOS y android\07_HilarIA\Documentacion para la IA\docs\TDD.md","TDD.md","236","2026-03-27 18:34","TDD - HilarIA || 1. Stack || 2. Arquitectura || STATUS","0","0","0","1","1","0"
"Voyager","07_HilarIA","02_App IOS y android","02_App IOS y android\07_HilarIA\Documentacion para la IA\docs\DESIGN_SPEC.md","DESIGN_SPEC.md","328","2026-03-27 18:34","DESIGN_SPEC - HilarIA || 1. Estetica Visual || 2. Flujos de Usuario || STATUS","0","0","0","1","0","0"
"Voyager","07_HilarIA","02_App IOS y android","02_App IOS y android\07_HilarIA\Documentacion para la IA\CHANGELOG.md","CHANGELOG.md","203","2026-03-27 18:34","CHANGELOG - HilarIA || [Unreleased] - 2026-03-27 || Added || Technical Debt","0","0","0","1","0","0"
"Voyager","07_HilarIA","02_App IOS y android","02_App IOS y android\07_HilarIA\Documentacion para la IA\07_HilarIA.md","07_HilarIA.md","7353","2025-09-06 03:14","USER || ASSISTANT || USER || ASSISTANT || USER || ASSISTANT || USER || ASSISTANT","0","1","0","1","0","0"
"Voyager","07_HilarIA","02_App IOS y android","02_App IOS y android\07_HilarIA\48_HilarIA.md","48_HilarIA.md","1564","2026-03-22 02:08","🧵 HilarIA (String Art 3D) - Algoritmia del Arte en Hilo || 🌟 Visión General || 📐 Evolución de la Trama y el Código || 🏁 Conclusión","0","1","0","1","0","0"
"Voyager","01_closet_a_la_pantalla","10_Ebooks","10_Ebooks\01_closet_a_la_pantalla\Documentacion para la IA\docs\TEST_PLAN.md","TEST_PLAN.md","172","2026-03-27 18:36","TEST_PLAN - Closet a la Pantalla || TP-1.1: Core || STATUS","0","1","0","0","0","0"
"Voyager","01_closet_a_la_pantalla","10_Ebooks","10_Ebooks\01_closet_a_la_pantalla\Documentacion para la IA\docs\ROADMAP.md","ROADMAP.md","190","2026-03-27 18:36","ROADMAP - Closet a la Pantalla || FASE 1 || TASK-1.1.1 - Setup || Ultima Sesion || STATUS","0","1","0","0","0","0"
"Voyager","01_closet_a_la_pantalla","10_Ebooks","10_Ebooks\01_closet_a_la_pantalla\Documentacion para la IA\docs\PRD.md","PRD.md","205","2026-03-27 18:36","PRD - Closet a la Pantalla || Resumen || Stack || STATUS","1","0","0","0","1","0"
"Voyager","01_closet_a_la_pantalla","10_Ebooks","10_Ebooks\01_closet_a_la_pantalla\Documentacion para la IA\docs\TDD.md","TDD.md","150","2026-03-27 18:36","TDD - Closet a la Pantalla || Stack || Arquitectura || STATUS","0","0","0","1","1","0"
"Voyager","01_closet_a_la_pantalla","10_Ebooks","10_Ebooks\01_closet_a_la_pantalla\Documentacion para la IA\docs\GLOSSARY.md","GLOSSARY.md","195","2026-03-27 18:36","GLOSSARY - Closet a la Pantalla || STATUS","0","0","0","0","0","0"
"Voyager","01_closet_a_la_pantalla","10_Ebooks","10_Ebooks\01_closet_a_la_pantalla\Documentacion para la IA\docs\USER_DOCS.md","USER_DOCS.md","168","2026-03-27 18:36","USER_DOCS - Closet a la Pantalla || STATUS","0","0","0","0","0","0"
